band bride,-0.22422135358272072,0.32,0.09577864641727928
boxer child,-0.12120672080928802,0.18,0.05879327919071197
baseball club,-0.3267918094978339,0.54,0.21320819050216616
band concert,-0.4313390611842914,0.74,0.3086609388157086
art craft,-0.2763188400506433,0.68,0.40368115994935677
architecture design,-0.38059619106096576,0.78,0.39940380893903427
art exhibition,-0.43514567583791464,0.68,0.24485432416208544
chess family,-0.35849942206340496,0.3,-0.05849942206340495
child family,-0.29932927430066725,0.74,0.44067072569933274
couple family,-0.1346408711223075,0.58,0.44535912887769247
crochet family,-0.23593932078037827,0.22,-0.015939320780378272
cute fashion,-0.361182467575269,0.34,-0.02118246757526897
couple female,-0.2456736949237761,0.42,0.17432630507622388
family female,-0.3676743996584527,0.48,0.11232560034154726
cute friend,-0.34171601846192506,0.3,-0.04171601846192509
family friend,-0.5428508076138514,0.8,0.2571491923861487
child fun,-0.48515990053913005,0.54,0.054840099460870005
cute fun,-0.3523100514618183,0.38,0.0276899485381817
friend fun,-0.4378532894254036,0.58,0.14214671057459638
baseball game,-0.4711741357177555,0.76,0.2888258642822445
craft game,-0.3546027619406957,0.5,0.14539723805930432
fun game,-0.5165441353876401,0.7,0.1834558646123599
boy girl,0.039289122457082826,0.7,0.7392891224570828
design graphic,-0.43423311399770853,0.7,0.2657668860022914
cute guy,-0.4610599700813164,0.52,0.058940029918683606
face guy,-0.3532791542026912,0.46,0.10672084579730885
friend guy,-0.2964153811948121,0.52,0.22358461880518793
fun guy,-0.28948808989310093,0.4,0.11051191010689906
guy gymnastics,-0.27861399663121855,0.24,-0.03861399663121858
baseball hockey,-0.10812042605103789,0.76,0.6518795739489621
club hockey,-0.4029010896980165,0.6,0.19709891030198343
game hockey,-0.5399881646559364,0.88,0.34001183534406365
concert jazz,-0.45887469989022817,0.68,0.22112530010977188
child kid,-0.22869703761181714,0.92,0.6913029623881829
cute kid,-0.6204845543281559,0.62,-0.00048455432815581496
fun kid,-0.5252734047879135,0.66,0.13472659521208652
guy kid,0.0294121970247484,0.46,0.4894121970247484
guy kiss,-0.32086661612616596,0.38,0.05913338387383406
cute lady,-0.5105523851516214,0.46,-0.050552385151621373
friend lady,-0.31016024712612555,0.54,0.2298397528738745
couple male,-0.28190799320328314,0.4,0.11809200679671689
family male,-0.3796978301529651,0.48,0.1003021698470349
club match,-0.28448660876388926,0.38,0.09551339123611076
game match,-0.33843914742081177,0.66,0.32156085257918826
baby mother,-0.5393846800173163,0.84,0.3006153199826836
child mother,-0.5042080149680748,0.86,0.3557919850319253
daughter mother,-0.31653913669977407,0.8,0.483460863300226
band music,-0.49708857070223983,0.82,0.3229114292977601
concert music,-0.560478836757729,0.92,0.359521163242271
cop music,-0.07887982943840165,0.16,0.08112017056159836
cute music,-0.2807910343943438,0.28,-0.000791034394343732
jazz music,-0.4310405504261556,0.86,0.4289594495738444
band musician,-0.3580218285346105,0.84,0.48197817146538946
concert musician,-0.5691127855837572,0.9,0.3308872144162428
jazz musician,-0.5106466614546885,0.88,0.36935333854531144
music musician,-0.27632144617720034,0.82,0.5436785538227996
guy people,-0.23909493931343245,0.72,0.4809050606865675
bride photographer,-0.4957549895105233,0.62,0.1242450104894767
exhibition photography,-0.525546230255326,0.74,0.21445376974467403
photographer photography,-0.21922385609927975,0.84,0.6207761439007202
band play,-0.5856510117314468,0.74,0.1543489882685532
baseball play,-0.5719497570693548,0.7,0.12805024293064518
couple post,-0.19923863250597115,0.24,0.04076136749402883
cute post,-0.2000821595042438,0.22,0.019917840495756192
post quote,-0.36560628732954364,0.44,0.07439371267045634
couple race,-0.20880829499037087,0.34,0.13119170500962915
female race,-0.1475583967476937,0.38,0.2324416032523063
band rock,-0.39047186584356774,0.72,0.32952813415643223
art sailing,-0.22745544003749346,0.22,-0.007455440037493455
fishing sailing,-0.35013233397562143,0.74,0.38986766602437856
party sailing,-0.20982051452628547,0.28,0.07017948547371455
boy school,-0.3532177615390372,0.62,0.2667822384609628
child school,-0.5307592780918009,0.8,0.26924072190819914
cute sexy,-0.5340553624748428,0.5,-0.03405536247484271
friend sexy,-0.268062158226999,0.28,0.011937841773001
